"text","class"
"    klik link pelapak  tokopedia halaman  muncul  lengkap   gambar   dicoba berkali kali    ","Positive"
" min   bayar tagihan spt bpjs  pascabayar  ga  transfer manual pakai mandiri ya   bca   bermasalah    perubahan terima kasih ","Positive"
"    setuju penjualnya    screenshot  terahir gmn sih    teliti  pelayanan   banget   memuaskan","Positive"
" oke terima kasih ya min ","Positive"
" oke   coba   batas permintaan otp harian  habis jd disuruh tunggu x jam  makasoh infonya","Positive"
"  top up emoney  apps  nfc ga  pakai iphone  ","Positive"
"    kupon  sy  istriku  dpt kupon    blnja smw  punyaku jg  istri sy bayar pake rekening yg    dpt cashback ","Positive"
" mohon cek dm","Positive"
" dear bpk bagus  bpk  top up emoney  platform tokopedia  sarankan bpk utk  update saldo trlebih  dgn  sbb  halaman aplikasi tokopedia pilih tagihan  klik emoney silahkan pilih cek saldo ikuti instrusksi cont ","Positive"
" kemarin sy bayar tagihan kartu kredit       notif klo sukses username dwi riza ","Positive"
" halo min  tolong    dana  tertahan  jt ","Positive"
"dear   mengajukan pembatalan tiket    blm  respon  butuh respon cepat  urgent penerbangan  besok terimakasih","Positive"
" min  invoice komplain   selesaikan  barang   mohon  cashback  voucher   pakai    tokocash terima kasih","Positive"
" hai kak check dm yaa tokocash cashback   masuk mohon bantuannya  kode promo nya  masuk   transaksi  check dm ya ","Positive"
" min  dana ongkir  dipotong    mengirim  ongkir  modal    alasan status toko moderasi gak adil ","Positive"
" ok thanks min","Positive"
" selamat sore maaf mohon info status  ","Positive"
"   foto rekeningnya  diskip aja ya ga  diupload  ","Positive"
"  skarang  udah ga  klik  bantuan kak tombolnya  disable ntah    gimana  ","Positive"
" okay thankyou next time   kendala     dimaki  serius  penyelesaiannya ya kendalanya  maafkan csnya  tolong ditingkatkan terima kasih","Positive"
"   min ","Positive"
" selamat pagi  konfirmasi tanggal  beli barang  toko wiyono  pengirimannya  kediri   kirim  palembang  hubungin orangnya   mohon dibantu ya  tokopedia ","Positive"
" udah langsung bayar   tetep  aja gitu  pakai promo  eror kah ","Positive"
" yth cs tokopedia mohon bantu   ganti nama toko  hani toys  beutccha care terimakasih ","Positive"
"   pk   berhasil membeli paket data xl mb pembayaran  selesai  paket data    aktif  dicall     bilang   history transaksi    tolong bantuannya","Positive"
"hi sblmnya   transaksi yg  saldo  poin  tp   batalkan   knp   ya saldo  poin nya  akun ovo  tkp tkp ","Positive"
"   penjual lucky jaya motor   penjual wmp online    tautkan link invoice  tweet  yg isinya barang stabilizer roll rantai vixion cnc tensioner roll rantai  penjual wmp online mohon follow upnya terima kasih ","Positive"
" oke mba milea  saldo  nggak ilang  ","Positive"
" min  miskom dgn kurir jnt nmr invoice tsb  dikirim dgn resi otomatis   kurir dikirim manual  pmbayaran dibebankan kpd buyer    dipotong  nilai transaksi   refund  buyer ongkirnya ","Positive"
" selamat sore min tolong cek dm   ya terima kasih ","Positive"
"  ngeh materai  diskonan hebat yak beli  kantor pos puluhan lembar  gak  dikasih diskon keping  toko  jual yak eixo fl edukasitoppers tokopediacare","Positive"
" mlm kak mohon bantuan transaksi   tracking  bergerak  penjual input resi  valid mohon bantuan nya","Positive"
"   klik   reksadana  muncul kaya gambar sebelah kiri pas  klik  investasi nongolnya kaya gambar sebelah kanan kunaon atuh ","Positive"
" halo   tny  beli unipin voucher  code  nya upgc sdngkan  pakai  topup comico yg depannya default idmb   ya pdhl td sya membaca rekomendasi dr comico bs beli unipin dr tokped tp berbeda gt","Positive"
"  kak barusan  dikirimkan email  customcare co id beserta data data berkas  dibutuhkan tinggal menunggu hasil nya","Positive"
"selamat siangmohon nomor transaksi   cekkendala driver iya  jga ambil barang","Positive"
" ok   syarat nya    blom terjawab   link yg  kirim  tdk     transaksi  x jam msh blom terverifikasi  yg   tokopedia  suruh menunggu  x jam     uang sdh masuk","Positive"
" baca  ya  yg  komplain dimana drivernya  teredukasi    gojek instant   menyuruh  komplain   lempar batu sembunyi tangan ","Positive"
"  sdh  kabar u account sy kmrn sdh ditny  cust service tp beritanya utk pemakaian tiket offline yg  prnah  beli mohon bantuannya terimakasih ","Positive"
